#,"Date Time, GMT-04:00",Temp,"Intensity, Lux (LGR S/N: 10957587, SEN S/N: 10957587)","GDD, DDc (LGR S/N: 10957587)"
1,7/4/2017 20:00,27.272,0,
2,7/4/2017 21:00,26.879,0,
3,7/4/2017 22:00,26.292,0,
4,7/4/2017 23:00,25.708,0,
5,7/5/2017 0:00,25.125,0,
6,7/5/2017 1:00,24.545,0,
7,7/5/2017 2:00,23.966,0,
8,7/5/2017 3:00,23.292,0,
9,7/5/2017 4:00,22.717,0,
10,7/5/2017 5:00,22.142,0,
11,7/5/2017 6:00,21.664,0,
12,7/5/2017 7:00,20.996,0,
13,7/5/2017 8:00,21.378,0,
14,7/5/2017 9:00,22.908,0,
15,7/5/2017 10:00,23.196,0,
16,7/5/2017 11:00,23.677,0,
17,7/5/2017 12:00,24.545,0,10.474
18,7/5/2017 13:00,26.195,0,
19,7/5/2017 14:00,32.6,0,
20,7/5/2017 15:00,35.328,0,
21,7/5/2017 16:00,35.971,0,
22,7/5/2017 17:00,34.903,0,
23,7/5/2017 18:00,34.374,0,
24,7/5/2017 19:00,32.394,0,
25,7/5/2017 20:00,28.853,0,
26,7/5/2017 21:00,25.61,0,
27,7/5/2017 22:00,24.545,0,
28,7/5/2017 23:00,23.581,0,
29,7/6/2017 0:00,22.238,0,
30,7/6/2017 1:00,21.282,0,
31,7/6/2017 2:00,19.948,0,
32,7/6/2017 3:00,18.901,0,
33,7/6/2017 4:00,18.14,0,
34,7/6/2017 5:00,17.76,0,
35,7/6/2017 6:00,17.189,0,
36,7/6/2017 7:00,16.903,0,
37,7/6/2017 8:00,18.711,0,
38,7/6/2017 9:00,22.717,0,
39,7/6/2017 10:00,23.966,0,
40,7/6/2017 11:00,26.879,0,
41,7/6/2017 12:00,34.268,0,19.762
42,7/6/2017 13:00,36.187,0,
43,7/6/2017 14:00,30.054,0,
44,7/6/2017 15:00,35.864,0,
45,7/6/2017 16:00,35.649,0,
46,7/6/2017 17:00,28.159,0,
47,7/6/2017 18:00,26.195,0,
48,7/6/2017 19:00,25.222,0,
