#,"Date Time, GMT-04:00",Temp,Intensity,Coupler Attached (LGR S/N: 20050472),Host Connected (LGR S/N: 20050472),Coupler Detached (LGR S/N: 20050472),End Of File (LGR S/N: 20050472)
1,7/4/2017 20:00,86.277,0,,,,
2,7/4/2017 21:00,84.654,0,,,,
3,7/4/2017 22:00,82.33,0,,,,
4,7/4/2017 23:00,79.853,0,,,,
5,7/5/2017 0:00,77.4,0,,,,
6,7/5/2017 1:00,75.312,0,,,,
7,7/5/2017 2:00,73.234,0,,,,
8,7/5/2017 3:00,71.168,0,,,,
9,7/5/2017 4:00,69.278,0,,,,
10,7/5/2017 5:00,67.735,0,,,,
11,7/5/2017 6:00,66.193,0,,,,
12,7/5/2017 7:00,65.167,0,,,,
13,7/5/2017 8:00,68.763,0,,,,
14,7/5/2017 9:00,71.683,0,,,,
15,7/5/2017 10:00,72.545,0,,,,
16,7/5/2017 11:00,76.876,0,,,,
17,7/5/2017 12:00,84.474,0,,,,
18,7/5/2017 13:00,87.552,0,,,,
19,7/5/2017 14:00,88.099,8,,,,
20,7/5/2017 15:00,102.088,0,,,,
21,7/5/2017 16:00,103.923,0,,,,
22,7/5/2017 17:00,103.104,0,,,,
23,7/5/2017 18:00,99.885,0,,,,
24,7/5/2017 19:00,95.976,0,,,,
25,7/5/2017 20:00,92.363,0,,,,
26,7/5/2017 21:00,88.833,0,,,,
27,7/5/2017 22:00,85.194,0,,,,
28,7/5/2017 23:00,82.152,0,,,,
29,7/6/2017 0:00,79.502,0,,,,
30,7/6/2017 1:00,77.4,0,,,,
31,7/6/2017 2:00,75.139,0,,,,
32,7/6/2017 3:00,73.234,0,,,,
33,7/6/2017 4:00,71.512,0,,,,
34,7/6/2017 5:00,69.793,0,,,,
35,7/6/2017 6:00,68.421,0,,,,
36,7/6/2017 7:00,71.683,0,,,,
37,7/6/2017 8:00,73.407,0,,,,
38,7/6/2017 9:00,75.484,0,,,,
39,7/6/2017 10:00,80.559,0,,,,
40,7/6/2017 11:00,83.579,0,,,,
41,7/6/2017 12:00,94.253,2560,,,,
42,7/6/2017 13:00,81.797,304,,,,
43,7/6/2017 14:00,83.043,336,,,,
44,7/6/2017 15:00,85.194,272,,,,
45,7/6/2017 16:00,84.834,704,,,,
46,7/6/2017 17:00,87.915,320,,,,
47,7/6/2017 18:00,87.733,464,,,,
48,7/6/2017 19:00,87.186,224,,,,
49,7/6/2017 20:00,86.277,184,,,,
50,7/6/2017 21:00,85.194,26,,,,
51,7/6/2017 22:00,83.757,0,,,,
52,7/6/2017 23:00,83.399,0,,,,
53,7/7/2017 0:00,83.221,0,,,,
54,7/7/2017 1:00,82.864,0,,,,
55,7/7/2017 2:00,82.508,0,,,,
56,7/7/2017 3:00,82.152,0,,,,
57,7/7/2017 4:00,81.797,0,,,,
58,7/7/2017 5:00,81.442,0,,,,
59,7/7/2017 6:00,80.559,0,,,,
60,7/7/2017 7:00,80.559,10,,,,
61,7/7/2017 8:00,80.206,30,,,,
62,7/7/2017 9:00,80.382,103,,,,
63,7/7/2017 10:00,80.559,144,,,,
64,7/7/2017 11:00,80.735,126,,,,
65,7/7/2017 12:00,80.911,126,,,,
66,7/7/2017 13:00,81.09,128,,,,
67,7/7/2017 14:00,81.442,160,,,,
68,7/7/2017 15:00,81.442,85,,,,
69,7/7/2017 16:00,81.797,176,,,,
70,7/7/2017 17:00,81.975,176,,,,
71,7/7/2017 18:00,82.686,384,,,,
72,7/7/2017 19:00,82.864,256,,,,
73,7/7/2017 20:00,82.152,512,,,,
74,7/7/2017 21:00,81.621,25,,,,
75,7/7/2017 22:00,81.266,0,,,,
76,7/7/2017 23:00,80.911,0,,,,
77,7/8/2017 0:00,80.559,0,,,,
78,7/8/2017 1:00,80.206,0,,,,
79,7/8/2017 2:00,80.029,0,,,,
80,7/8/2017 3:00,79.853,0,,,,
81,7/8/2017 4:00,79.502,0,,,,
82,7/8/2017 5:00,79.151,0,,,,
83,7/8/2017 6:00,78.975,0,,,,
84,7/8/2017 7:00,78.8,22,,,,
85,7/8/2017 8:00,78.624,33,,,,
86,7/8/2017 9:00,78.624,83,,,,
87,7/8/2017 10:00,78.274,34,,,,
88,7/8/2017 11:00,78.8,49,,,,
89,7/8/2017 12:00,79.151,52,,,,
90,7/8/2017 13:00,80.735,304,,,,
91,7/8/2017 14:00,81.266,248,,,,
92,7/8/2017 15:00,82.33,672,,,,
93,7/8/2017 16:00,82.686,123,,,,
94,7/8/2017 17:00,83.757,1088,,,,
95,7/8/2017 18:00,83.935,576,,,,
96,7/8/2017 19:00,83.221,1344,,,,
97,7/8/2017 20:00,82.152,192,,,,
98,7/8/2017 21:00,81.266,14,,,,
99,7/8/2017 22:00,80.559,0,,,,
100,7/8/2017 23:00,80.382,0,,,,
101,7/9/2017 0:00,79.853,0,,,,
102,7/9/2017 1:00,79.678,0,,,,
103,7/9/2017 2:00,79.326,0,,,,
104,7/9/2017 3:00,79.151,0,,,,
105,7/9/2017 4:00,78.8,0,,,,
106,7/9/2017 5:00,78.624,0,,,,
107,7/9/2017 6:00,78.449,0,,,,
108,7/9/2017 7:00,78.274,19,,,,
109,7/9/2017 8:00,78.098,28,,,,
110,7/9/2017 9:00,78.098,41,,,,
111,7/9/2017 10:00,78.098,41,,,,
112,7/9/2017 11:00,78.8,68,,,,
113,7/9/2017 12:00,79.678,60,,,,
114,7/9/2017 13:00,81.797,320,,,,
115,7/9/2017 14:00,82.864,432,,,,
116,7/9/2017 15:00,84.295,384,,,,
117,7/9/2017 16:00,83.579,432,,,,
118,7/9/2017 17:00,83.757,256,,,,
119,7/9/2017 18:00,82.864,136,,,,
120,7/9/2017 19:00,83.043,232,,,,
121,7/9/2017 20:00,81.621,92,,,,
122,7/9/2017 21:00,80.911,14,,,,
123,7/9/2017 22:00,80.559,0,,,,
124,7/9/2017 23:00,80.382,0,,,,
125,7/10/2017 0:00,80.029,0,,,,
126,7/10/2017 1:00,79.678,0,,,,
127,7/10/2017 2:00,79.502,0,,,,
128,7/10/2017 3:00,79.326,0,,,,
129,7/10/2017 4:00,78.975,0,,,,
130,7/10/2017 5:00,78.624,0,,,,
131,7/10/2017 6:00,78.449,0,,,,
132,7/10/2017 7:00,78.274,6,,,,
133,7/10/2017 8:00,78.098,22,,,,
134,7/10/2017 9:00,78.098,0,,,,
135,7/10/2017 10:00,77.749,4,,,,
136,7/10/2017 11:00,77.749,65,,,,
137,7/10/2017 12:00,77.749,52,,,,
138,7/10/2017 13:00,77.749,144,,,,
139,7/10/2017 14:00,77.749,111,,,,
140,7/10/2017 15:00,78.274,336,,,,
141,7/10/2017 16:00,78.624,400,,,,
142,7/10/2017 17:00,79.151,864,,,,
143,7/10/2017 18:00,79.326,672,,,,
144,7/10/2017 19:00,78.975,60,,,,
145,7/10/2017 20:00,78.624,40,,,,
146,7/10/2017 21:00,78.274,7,,,,
147,7/10/2017 22:00,78.098,0,,,,
148,7/10/2017 23:00,77.923,0,,,,
149,7/11/2017 0:00,77.923,0,,,,
150,7/11/2017 1:00,77.749,0,,,,
151,7/11/2017 2:00,77.749,0,,,,
152,7/11/2017 3:00,77.749,0,,,,
153,7/11/2017 4:00,77.574,0,,,,
154,7/11/2017 5:00,77.4,0,,,,
155,7/11/2017 6:00,77.4,0,,,,
156,7/11/2017 7:00,77.4,21,,,,
157,7/11/2017 8:00,77.574,75,,,,
158,7/11/2017 9:00,77.749,136,,,,
159,7/11/2017 10:00,78.449,144,,,,
160,7/11/2017 11:00,78.975,192,,,,
161,7/11/2017 12:00,79.853,160,,,,
162,7/11/2017 13:00,80.735,208,,,,
163,7/11/2017 14:00,81.266,160,,,,
164,7/11/2017 15:00,82.508,288,,,,
