#,"Date Time, GMT-04:00",Temp,"Intensity, Lux (LGR S/N: 10977417, SEN S/N: 10977417, LBL: LIGHT)","GDD, DDc (LGR S/N: 10977417)"
1,7/5/2017 20:00,36.62,0,
2,7/5/2017 21:00,32.6,0,
3,7/5/2017 22:00,28.258,0,
4,7/5/2017 23:00,25.513,0,
5,7/6/2017 0:00,23.484,0,
6,7/6/2017 1:00,21.855,0,
7,7/6/2017 2:00,20.519,0,
8,7/6/2017 3:00,19.377,0,
9,7/6/2017 4:00,18.426,0,
10,7/6/2017 5:00,17.665,0,
11,7/6/2017 6:00,16.903,0,
12,7/6/2017 7:00,16.713,0,
13,7/6/2017 8:00,17.95,0,
14,7/6/2017 9:00,19.758,0,
15,7/6/2017 10:00,23.581,0,
16,7/6/2017 11:00,27.862,0,
17,7/6/2017 12:00,31.37,0,7.708
18,7/6/2017 13:00,33.743,0,
19,7/6/2017 14:00,27.764,1377.8,
20,7/6/2017 15:00,28.159,1377.8,
21,7/6/2017 16:00,28.555,1636.1,
22,7/6/2017 17:00,28.555,861.1,
23,7/6/2017 18:00,28.754,947.2,
24,7/6/2017 19:00,28.754,570.5,
25,7/6/2017 20:00,28.655,279.9,
26,7/6/2017 21:00,28.357,21.5,
27,7/6/2017 22:00,28.258,0,
28,7/6/2017 23:00,28.06,0,
29,7/7/2017 0:00,27.862,0,
30,7/7/2017 1:00,27.567,0,
31,7/7/2017 2:00,27.272,0,
32,7/7/2017 3:00,27.173,0,
33,7/7/2017 4:00,26.977,0,
34,7/7/2017 5:00,26.781,0,
35,7/7/2017 6:00,26.683,0,
36,7/7/2017 7:00,26.488,64.6,
37,7/7/2017 8:00,26.488,936.5,
38,7/7/2017 9:00,26.488,731.9,
39,7/7/2017 10:00,26.683,3100,
40,7/7/2017 11:00,26.781,2066.7,
41,7/7/2017 12:00,26.781,2669.5,15.52
42,7/7/2017 13:00,27.173,2411.1,
43,7/7/2017 14:00,27.665,2152.8,
44,7/7/2017 15:00,27.961,1463.9,
