Mo,LK_CODE,Date,Month,day,year,doy,OP,NO3,NH3,TP,TKN,TNTP,X16SRNA,MCYE,Nodul,D_Asp3_RR,MC_RR,MC_YR,MC_HTyR,MC_LR,D_Asp3_LR,MC_HiLR,MC_WR,MC_LA,MC_LY,MC_LW,MC_LF,SUM,ELISA,S_D_Asp3_RR,S_MC_RR,S_Nodul,S_MC_YR,S_MC_HtyR,S_MC_LR,S_D_Asp3LR,S_MC_HilR,S_MC_WR,S_MC_LA,S_MC_LY,S_MC_LW,S_MC_LF,S_SUM,S_ELISA,wtemp,pH,DO,conduc,turb,chloro,phyco,TN,Max_Depth,LkArea,WtShArea,LkWshRatio,Water,Developed,Barren,Forest,Shrubs,Herbaceous,Agriculture,Wetlands,MusselMass,MusselNum,ecoregion,precip3,temp3,precip5,temp5,precip7,temp7,precip30,temp30,hobotemp,hobolight,surveyor
July,BEA,20170705,7,5,2017,186,-2.0969100130080562,-1.1487416512809248,-2.221848749616356,-1.6020599913279623,-0.4067139329795427,15.347826086956522,4.09580347551606,NA,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.3407400135915053,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.3407400135915053,-0.8239087409443188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.67,8.41,1.0240749873074262,2.2095418220166003,0.3891660843645324,NA,NA,-0.32882715728491674,16,0.36000525298520036,0.6036082455645568,0.42825917,0.43533225275242166,0.08298217178887388,0,0.4064829822559416,0.02171799027504877,0.03533225284806777,0,0.018152350079646423,0,0,Northern Lakes and Forests,0.5938396610812713,13.742857142857144,0.47591320253069425,14.50909090909091,0.5754765086018997,14.713333333333333,0.6450417542997173,14.650819672131147,23.89038344,2.9197372675049125,1
July,BEL,20170706,7,6,2017,187,-1.8239087409443189,-0.4962093169428189,-1.2365720064370627,-1.3665315444204134,-0.10182351650232348,24.390243902439025,4.666965147617592,NA,-1.5228787452803376,-1.5228787452803376,-1.1772632626695954,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.0525858855299102,-1.5228787452803376,-1.5228787452803376,-1.3721427673617461,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-0.8615993992045894,-0.8239087409443188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.82,8.5,0.8785217955012066,2.868650315141017,1.1495270137543478,0.11727129565576427,-0.5686362358410126,0.04766419460155998,9,0.44807115173478473,1.675756685140577,0.038922097,0.10793303609663513,0.7099562547022369,7.571296373631982e-4,0.07989820813468684,4.2062757640865466e-4,0.008118112222790852,0.041642130067904425,0.05127450156197407,0,0,Huron/Erie Lake Plains,0.33243845991560533,NaN,0.5910646070264992,NaN,0.6601752998977023,NaN,0.3399480616943509,NaN,27.18238667,0.9309052993299857,2
July,BOG,20170705,7,5,2017,186,-1.8239087409443189,-1.136677139879544,-0.384049948343599,-1.585026652029182,-0.029188389127482197,37.416666666666664,4.685601970178724,NA,-1.5228787452803376,-1.2050799650830117,-1.3876400520322256,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.3164486801463389,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.0382088453950045,-0.8239087409443188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.21,8.37,0.8518696007297663,2.877952703835888,1.079543007402906,-0.3010299956639812,-1.2218487496163564,0.006037954997317177,12,0.11409176913177617,0.5184237396552399,0.130666908,0.12606112050860485,0.4422750425538755,0.016977928688130084,0.29202037346540827,4.244482172684819e-4,0.014006791169555496,0,0.10823429539715733,0.040285799,0.301029996,Southern Michigan/Northern Indiana Drift Plains,NA,NA,0.6720978579357174,NaN,0.6720978579357174,NaN,0.44404479591807633,NaN,26.95841087,2.0045719117787053,2
July,BRI,20170705,7,5,2017,186,-1.6777807052660807,-0.2831622767004755,-1.080921907623926,-1.2924298239020635,0.15503222879097023,37.55102040816326,3.546597215828495,1.3168547241927493,-1.5228787452803376,-1.1181077266150974,-0.71314624499494,-1.4268962168360089,-1.5228787452803376,-1.1344163741891917,-0.647063429587044,-1.4559319556497243,-1.5228787452803376,-1.4241888817301125,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-0.30223727362392244,-0.240709966975696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.52,8.41,0.919601023784111,2.8932123066622153,1.33665982345442,0.41664050733828095,-0.36653154442041347,0.2913688504515826,7,0.21435747846534559,1.6655528500750247,0.014088447,0.0548387791548773,0.518189846418405,0.003360113726401956,0.19327115687015975,5.60018954400326e-4,0.010855752041860822,0.08333512826255518,0.13558920457133972,0,0,Southern Michigan/Northern Indiana Drift Plains,0,18.05,0.38021124171160603,18.133333333333333,0.3331112632754216,19.3,0.35012086433474665,17.916129032258066,27.0532788,1.858551958458894,2
July,CAD,20170707,7,7,2017,188,-1.7958800173440752,-1.1611509092627446,-1.5228787452803376,-1.408935392973501,-0.14146280243036088,18.405405405405407,4.587396716953197,1.6301589351098256,-1.5228787452803376,-0.9761222773079051,-0.36139295040303426,-1.42611931379498,-1.4046250448317505,-1.1852464662510114,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.2299363222254016,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-0.22781403151287916,0.12336155874629633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.09,8.88,0.9206450014067876,2.004364371107751,0.8129133566428556,NA,NA,-0.09854167860388763,8,0.7443310125079925,2.210843991668896,0.028176996,0.13826625524840083,0.13826625524840083,0.001261501394699424,0.34934323515204413,0.032720638047405826,0.05849232768529265,0.10855326457333869,0.17309652265041767,2.451095312,3.21212758,Northern Lakes and Forests,0.34406462788918296,17.2875,0.38021124171160603,16.9,0.32135674334432135,16.91875,0.7708520116421442,16.076666666666668,24.90223926,3.057896318213977,1
July,COL,20170707,7,7,2017,188,-1.7695510786217261,-0.4111682744057928,-0.6073030467403343,-1.1870866433571443,0.09725730969341999,24.26984126984127,4.35049907130634,2.8499971780971616,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.4529764243418277,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.4529764243418277,-0.8239087409443188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.96,8.67,0.9444826721501686,2.4031376866263807,0.2528530309798932,NA,NA,0.2161659022859931,28,0.3325423226552568,2.1663945872792394,0.007897111,0.02214941812367256,0.0748028594861716,8.039716194836313e-4,0.3581425575487068,0.018739238501737268,0.06819019288710627,0.3000824070826073,0.15708935475051458,2.334465413,3.390073424,Northern Lakes and Forests,0.24715461488112658,16.95,0.21748394421390624,16.483333333333334,0.1724569744005872,17.15,0.9312281460172095,16.574193548387097,25.68826994,3.120975169453514,1
July,DEE,20170707,7,7,2017,188,-1.8239087409443189,-1.275724130399211,-1.193820026016113,-1.5686362358410126,0.04257551244019059,41.83999999999999,4.073470022344037,NA,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-0.37458053230496985,-0.24798844956229782,-1.5228787452803376,-1.5228787452803376,-0.7206273993100354,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,0.04818029353853398,-0.018407882785918588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.44,8.41,1.00774777800074,2.3138883021138676,0.8573324964312685,NA,NA,0.06520612805431189,7,0.4544334837543285,0.9979723753890067,0.206323557,0.22312969619299278,0.11967766520463953,0.0025046281171386534,0.36872481762624093,0.005662637482566081,0.04355874985988534,0.1273004464811625,0.10944135903537401,0.412880358,1.805898653,North Central Hardwood Forests,0,27.225,0.03476210625921191,26.21666666666667,0.026328938722349145,25.2875,0.5768241679118891,24.81935483870968,25.23696933,3.3489181638552816,1
July,FOR,20170706,7,6,2017,187,-1.958607314841775,-0.19449914184159983,-0.47886191629596364,-1.4814860601221125,0.1832698436828047,66.25806451612904,4.603527199047829,NA,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.2650962081176578,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.2650962081176578,-0.8239087409443188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.26,8.52,0.9304395947667001,2.851875708907373,0.909020854211156,-0.10237290870955855,-0.5086383061657274,0.33645973384852956,9,0.6857745894539342,1.7138049183810384,0.075888083,0.10041567239086586,0.4957855438098017,0.0018666769300356083,0.14629358785776544,0.0011546455237313332,0.009468093295503887,0.20437225775584905,0.04064352243644705,0.725249891,1.335038979,Huron/Erie Lake Plains,0.3387054443032551,21.6,0.376424866534242,21.991666666666667,0.46658961256787224,22.075,0.3435356455072145,20.809677419354838,27.11225801,1.4720741184791253,2
July,HOU,20170705,7,5,2017,186,-1.7212463990471711,-1.2596373105057561,-1.3872161432802645,-1.013228265733755,0.2156375634350617,16.715789473684207,3.486070203548772,1.3168547241927493,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.4080232196017128,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-0.7759333356652329,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-0.7530043823889969,0.11925588927793662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.58,8.71,1.0484418035504044,2.2718648302193953,1.3224260524059526,NA,NA,0.2314695904306813,6,1.832431960530673,2.7612920108991283,0.116267362,0.22755231513568747,0.09277218850128355,0.0013619800885789353,0.353469407055164,0.041067765276674335,0.04705437925767452,0.005895137696367922,0.23082682698856918,0,0,Northern Lakes and Forests,0.031408464251624114,15.65,0.072119391560138,16.32777777777778,0.3621667390179633,16.0625,0.7155203111282112,15.404301075268817,24.19131135,3.216900536930381,1
July,HUD,20170706,7,6,2017,187,-1.8239087409443189,-1.3979400086720375,-0.4975728800155673,-1.4436974992327127,0.15563963375977638,40.02941176470588,4.566018834593922,NA,-1.2894341801993559,-1.5228787452803376,-1.1107655482975358,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-1.3079289846648905,-1.5228787452803376,-1.5228787452803376,-1.5228787452803376,-0.9279229720169279,-0.8239087409443188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.34,8.76,0.9138138523837167,2.542837870748866,1.0610753236297918,0.012837224705172217,-0.8860566476931632,0.1693804953119495,8,0.48818974070949533,1.459006276544892,0.074796973,0.06622423541077528,0.04294392359172605,0.004951016538960983,0.17714807405896407,0.016187366131056743,0.00832192141838848,0.5683486076737712,0.11587485517635716,0,0,Eastern Corn Belt Plains,0.22617012339899886,17.25,0.4573771965239053,17.616666666666667,0.7235924792443509,18.0625,0.49104317934848607,17.203703703703702,27.54399625,2.284544906699286,2
