#,"Date Time, GMT-04:00",Temp,Intensity,Coupler Attached (LGR S/N: 20055150),Host Connected (LGR S/N: 20055150),Coupler Detached (LGR S/N: 20055150),End Of File (LGR S/N: 20055150)
1,7/4/2017 20:00,86.459,0,,,,
2,7/4/2017 21:00,84.654,0,,,,
3,7/4/2017 22:00,82.508,0,,,,
4,7/4/2017 23:00,80.029,0,,,,
5,7/5/2017 0:00,77.749,0,,,,
6,7/5/2017 1:00,75.484,0,,,,
7,7/5/2017 2:00,73.407,0,,,,
8,7/5/2017 3:00,71.339,0,,,,
9,7/5/2017 4:00,69.449,0,,,,
10,7/5/2017 5:00,67.906,0,,,,
11,7/5/2017 6:00,66.366,0,,,,
12,7/5/2017 7:00,65.167,0,,,,
13,7/5/2017 8:00,68.421,0,,,,
14,7/5/2017 9:00,71.339,0,,,,
15,7/5/2017 10:00,72.199,0,,,,
16,7/5/2017 11:00,76.703,0,,,,
17,7/5/2017 12:00,83.935,0,,,,
18,7/5/2017 13:00,86.823,0,,,,
19,7/5/2017 14:00,88.099,0,,,,
20,7/5/2017 15:00,98.897,0,,,,
21,7/5/2017 16:00,104.128,0,,,,
22,7/5/2017 17:00,102.697,0,,,,
23,7/5/2017 18:00,99.489,0,,,,
24,7/5/2017 19:00,95.4,0,,,,
25,7/5/2017 20:00,91.8,0,,,,
26,7/5/2017 21:00,88.282,0,,,,
27,7/5/2017 22:00,84.654,0,,,,
28,7/5/2017 23:00,81.621,0,,,,
29,7/6/2017 0:00,79.151,0,,,,
30,7/6/2017 1:00,76.876,0,,,,
31,7/6/2017 2:00,74.791,0,,,,
32,7/6/2017 3:00,72.718,0,,,,
33,7/6/2017 4:00,70.995,0,,,,
34,7/6/2017 5:00,69.449,0,,,,
35,7/6/2017 6:00,68.077,0,,,,
36,7/6/2017 7:00,71.856,0,,,,
37,7/6/2017 8:00,73.062,0,,,,
38,7/6/2017 9:00,77.574,55,,,,
39,7/6/2017 10:00,77.923,96,,,,
40,7/6/2017 11:00,78.449,232,,,,
41,7/6/2017 12:00,79.853,496,,,,
42,7/6/2017 13:00,80.382,400,,,,
