id,Mo,LK_CODE,Date,Month,day,year,doy,OP,NO3,NH3,TP,TKN,TNTP,X16SRNA,CYANA,MCYE,CyrA,SxtA,Nodul,D_Asp3_RR,MC_RR,MC_YR,MC_HTyR,MC_LR,D_Asp3_LR,MC_HiLR,MC_WR,MC_LA,MC_LY,MC_LW,MC_LF,SUM,ELISA,Sensored,PPIA,Sensored_1,Anatoxin,Cylindro,S_D_Asp3_RR,S_MC_RR,S_Nodul,S_MC_YR,S_MC_HtyR,S_MC_LR,S_D_Asp3LR,S_MC_HilR,S_MC_WR,S_MC_LA,S_MC_LY,S_MC_LW,S_MC_LF,S_SUM,S_ELISA,S_EL_CENS,wtemp,pH,DO,conduc,turb,chloro,phyco
1,July,BEA,20170705,7,5,2017,186,0.005,0.031,0,0.023,0.322,14,12448.19183,191.7989741,-999,-999,-999,0,0,0,0,0,0,0,0,0,0.015631,0,0,0,0.015631,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22.67,8.41,10.56,162,2.44,-999,-999
2,July,BEL,20170706,7,6,2017,187,0.012,0.279,0.052,0.041,0.721,17.585,46427.79991,1828.357088,-999,-999,-999,0,0,0.036487,0,0,0,0.058596,0,0,0.012448,0,0,0,0.107531,0,0,0.587,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.82,8.5,7.55,739,14.1,1.3,0.26
3,July,BOG,20170705,7,5,2017,186,0.012,0.033,0.407,0.024,0.865,36.042,48464.39382,2489.380258,-999,-999,-999,0,0.032362,0.01096,0,0,0,0,0,0,0.018256,0,0,0,0.061578,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27.21,8.37,7.1,755,12,0.49,0.05
4,July,BRI,20170705,7,5,2017,186,0.018,0.481,0.077,0.049,1.359,27.735,3500.44218,221.9987471,0.742195544,0,0,0,0.046189,0.163577,0.00742,0,0.043381,0.195391,0.005,0,0.007654,0,0,0,0.468612,0.4245,1,0.867,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.52,8.41,8.3,782,21.7,2.6,0.42
5,July,CAD,20170707,7,7,2017,188,0.013,0.029,0.024,0.037,0.652,17.622,38652.00747,1578.575024,22.67356591,0,0,0,0.075652,0.405118,0.007487,0.009389,0.035276,0,0,0,0.028893,0,0,0,0.561815,1.1785,1,1.091,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.09,8.88,8.32,101,6.49,-999,-999
6,July,COL,20170707,7,7,2017,188,0.014,0.348,0.241,0.063,1.181,18.746,22392.95253,1037.970439,687.9411844,0,0,0,0,0,0,0,0,0,0,0,0.005239,0,0,0,0.005239,0,0,0.4565,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.96,8.67,8.79,253,1.78,-999,-999
7,July,DEE,20170707,7,7,2017,188,0.012,0.013,0.058,0.025,1.033,41.32,11823.22615,357.6969004,-999,-999,-999,0,0,0,0,0,0.392104,0.534952,0,0,0.160271,0,0,0,1.087327,0.8085,1,1.2015,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.44,8.41,10.17,206,7.19,-999,-999
8,July,ERI,20170705,7,5,2017,186,0.012,0.181,0.023,0.035,0.244,6.971,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,0.047291,0,0,0,0.047291,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.9,8.99,12.57,337.7,3.07,1.152,0.162
9,July,FOR,20170706,7,6,2017,187,0.008,0.599,0.326,0.031,1.455,46.935,40115.36335,1794.498256,-999,-999,-999,0,0,0,0,0,0,0,0,0,0.024313,0,0,0,0.024313,0,0,0.486,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.26,8.52,8.51,711,8.1,0.78,0.3
10,July,HOU,20170705,7,5,2017,186,0.016,0.015,0.035,0.095,1.573,16.558,3042.458439,39.00219563,0.742195544,0,0,0,0,0,0,0,0.009082,0,0,0,0.13752,0,0,0,0.146602,1.166,1,0.4095,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.58,8.71,11.17,187,21,-999,-999
11,July,HUD,20170706,7,6,2017,187,0.012,0,0.312,0.034,1.361,40.029,36794.49391,703.2420474,-999,-999,-999,0.021353,0,0.047488,0,0,0,0,0,0,0.019212,0,0,0,0.088053,0,0,0.3765,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.34,8.76,8.19,349,11.5,1.02,0.12
12,July,INT,20170706,7,6,2017,187,0.014,0.212,0.236,0.021,0.655,31.19,4914.845945,245.9788046,-999,-999,-999,0,0,0,0,0,0,0,0,0,0.032052,0,0,0,0.032052,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24.23,8.48,9.9,260,2.33,-999,-999
13,July,LGL,20170706,7,6,2017,187,0.012,0,0.241,0.023,1.021,44.391,1820.11658,13.54681512,-999,-999,-999,0,0,0.017746,0,0,0,0,0,0,0.105699,0,0,0,0.123445,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.33,8.51,9.08,173,3.9,-999,-999
14,July,LIM,20170706,7,6,2017,187,0.016,1.193,1.245,0.055,1.719,31.255,52132.70942,5726.762724,-999,-999,-999,0,0,0,0,0,0,0,0,0,0.032587,0,0,0,0.032587,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.34,8.57,8.15,399,14.6,3.335,0.29
15,July,LRO,20170706,7,6,2017,187,0.007,0.565,0.139,0.071,0.835,11.761,14206.47637,231.8660265,6.183284986,0,0,0,0,0,0,0,0,0,0,0,0.14648,0,0,0,0.14648,0.175,1,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27.04,8.76,8.05,357,17.2,1.61,0.04
16,July,MAN,20170707,7,7,2017,188,0.014,0.143,0.087,0.077,0.907,11.779,53103.314,2055.940346,7.421955443,0,0,0,0,0.014733,0,0,0,0,0,0,0.011604,0,0,0,0.026337,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26.18,8.24,7.02,430,6.5,1.03,0.09
17,July,MAR,20170705,7,5,2017,186,0.008,0,0.095,0.022,0.482,21.909,3423.487562,46.89547643,-999,-999,-999,0,0,0,0,0,0.024352,0.03229,0,0,0.144144,0,0,0,0.200786,0.2935,1,0.2935,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.36,8.53,10.53,231,3.92,-999,-999
18,July,NEP,20170706,7,6,2017,187,0.013,0.059,0.788,0.022,0.727,33.045,22450.38264,519.8582061,-999,-999,-999,0,0,0,0,0,0,0,0,0,0.037635,0,0,0,0.037635,0,0,0.3535,1,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27.3,9.12,11.02,413.9,1.86,0.664,0.088
19,July,ORE,20170705,7,5,2017,186,0.008,0.606,0.04,0.022,0.799,36.318,24253.79069,665.849647,-999,-999,-999,0,0,0.016504,0,0,0,0,0,0,0,0,0,0,0.016504,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25.17,8.42,8.61,767,9.11,0.76,0
