LK_CODE,Lat,Long,REACHCODE,Lake Name,county,Network,Max_Depth,Open_clos,Zebra,LkArea,WtShArea,LkWshRatio,Water,Developed,Barren,Forest,Shrubs,Herbaceous,Agriculture,Wetlands,MusselMass,MusselNum
BEA,44.73095,-84.94995,4.06E+12,Bear Lake,Kalkaska,1,16,Closed,Present,1.290895362,3.014285397,0.42825917,1310828.714,249867.5732,0,1223960.691,65395.02893,106388.9277,0,54658.53164,0,0
BEL,42.21442,-83.50166,4.09E+12,Belleville Lake,Wayne,3,9,Open,Absent,1.805893298,46.39763641,0.038922097,5009064.007,32948358.08,35137.62748,3707995.745,19520.90416,376753.4502,1932569.512,2379598.217,0,0
BOG,42.61582,-83.50474,4.09E+12,Bogie Lake,Oakland,1,12,Closed,Present,0.300444341,2.299314682,0.130666908,289885.4267,1017039.107,39041.80831,671519.103,976.0452079,32209.49186,0,248891.528,0.040285799,0.301029996
BRI,42.52092,-83.79456,4.09E+12,Brighton Lake,Livingston,3,7,Open,Present,0.63816438,45.297,0.014088447,2485011.099,23481695.61,152263.0524,8758053.65,25377.1754,491926.7848,3776318.909,6144204.584,0,0
CAD,44.24239,-85.40419,4.06E+12,Lake Cadillac,Wexford,3,8,Open,Absent,4.550486012,161.4964927,0.028176996,18935277.04,18935277.04,172760.001,47841831.89,4481023.553,8010403.026,14866144.56,23705209.96,2.451095312,3.21212758
COL,43.66486,-84.95386,4.08E+12,Coldwater Lake,Isabella,3,28,Open,Present,1.15051424,145.688,0.007897111,3226805.457,10897544.75,117125.4249,52175472.63,2729998.446,9934188.126,43717064.86,22885331.99,2.334465413,3.390073424
DEE,45.16184,-84.98026,4.06E+12,Deer Lake,Charlevoix,1,7,Closed,Present,1.847301676,8.953421036,0.206323557,1999916.631,1072673.683,22449.03978,3304889.074,50754.35081,390418.0831,1140996.848,980925.4339,0.412880358,1.805898653
FOR,42.20675,-83.97195,4.09E+12,Ford Lake,Washtenaw,3,9,Open,Present,3.850366877,50.73743793,0.075888083,5093003.895,25145852.69,94676.38516,7419895.67,58562.71247,480214.2423,10365600.11,2061407.479,0.725249891,1.335038979
HOU,44.37367,-84.80032,4.06E+12,Houghton Lake,Roscommon,3,6,Open,Absent,66.98795222,576.1544,0.116267362,131110200.7,53453115.81,784740.3471,203660617,23662263.97,27111607.74,3396637.323,132996896.1,0,0
HUD,41.83611,-84.24632,4.10E+12,Hudson Lake,Lenawee,3,8,Open,Present,2.077441037,27.7744,0.074796973,1840821.262,1193703.289,137622.3743,4924148.074,449956.8408,231322.7143,15798267.73,3220949.186,0,0
