ogc_fid,station,name,latitude,longitude,elevation,date,awnd,dapr,mdpr,prcp,snow,snwd,tavg,tmax,tmin,tobs,wdfg,lk_code,shape_leng,shape_area,kmareawa,final_id,area,perimeter,fid
1,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,BRI,68280,45297000,45.297,4,45296999.997,68280,0
2,USC00205097,"MAPLE CITY, MI US",44.855,-85.8352,243.5,2017-06-01,,,,0,0,0,,20.6,3.3,14.4,,PLA,184715.49083,468898485.66,468.89849,20,468898485.66,184715.49083,0
3,US1MIAT0001,"ELK RAPIDS 0.5 ESE, MI US",44.8925,-85.3946,186.2,2017-06-08,,,,0,0,,,,,,,INT,42657.90284,67040182.634,67.04018,11,67040182.634,42657.90284,0
4,US1MIAT0006,"MANCELONA 0.5 ESE, MI US",44.8998,-85.051,348.4,2017-06-01,,,,0,,,,,,,,INT,42657.90284,67040182.634,67.04018,11,67040182.634,42657.90284,0
5,USC00200925,"BOYNE FALLS, MI US",45.1672,-84.9138,221.9,2017-06-01,,,,0,0,0,,20,1.1,20,,DEE,11609.58188,8953421.0357,8.95342,7,8953421.0356,11609.58188,0
6,USR0000MBRR,"BEAR MICHIGAN, MI US",44.8019,-86.0508,289.9,2017-06-01,,,,,,,12.9,20,6.1,,,LGL,68574.29373,108089690.59,108.08969,12,108089690.59,68574.29373,0
7,USR0000MBRR,"BEAR MICHIGAN, MI US",44.8019,-86.0508,289.9,2017-06-01,,,,,,,12.9,20,6.1,,,PLA,184715.49083,468898485.66,468.89849,20,468898485.66,184715.49083,0
8,USC00204756,"LEWISTON 3 W, MI US",44.8821,-84.3654,380.7,2017-06-01,,,,0,0,0,,13.3,2.2,3.3,,WTL,32167.93387,29063475.357,29.06348,29,29063475.357,32167.93387,0
9,USC00205097,"MAPLE CITY, MI US",44.855,-85.8352,243.5,2017-06-01,,,,0,0,0,,20.6,3.3,14.4,,LGL,68574.29373,108089690.59,108.08969,12,108089690.59,68574.29373,0
10,US1MICB0007,"MACKINAW CITY 1.1 ENE, MI US",45.7847,-84.7289,181.7,2017-06-12,,,,22.1,,,,,,,,PAR,73920,77598900,77.5989,19,77598899.997,73920,0
11,USC00202381,"EAST JORDAN, MI US",45.1519,-85.1322,178.3,2017-06-01,,,,0.3,0,0,,18.3,1.7,17.2,,INT,42657.90284,67040182.634,67.04018,11,67040182.634,42657.90284,0
12,US1MIAT0005,"ELLSWORTH 2.7 W, MI US",45.1718,-85.2997,245.4,2017-06-01,,,,3,,,,,,,,INT,42657.90284,67040182.634,67.04018,11,67040182.634,42657.90284,0
13,USW00014841,"PELLSTON REGIONAL AIRPORT, MI US",45.5644,-84.7927,214.9,2017-06-01,3.1,,,0,,,,18.9,0,,,PAR,73920,77598900,77.5989,19,77598899.997,73920,0
14,USC00201492,"CHEBOYGAN, MI US",45.6527,-84.4725,179.2,2017-06-01,,,,1.3,0,0,,15,3.9,10.6,,PAR,73920,77598900,77.5989,19,77598899.997,73920,0
15,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,BEL,0,0,0,2,46397636.409,50523.72387,0
16,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,SAN,0,0,0,24,87861048.396,60781.65669,0
17,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,CAD,0,0,0,5,0,0,0
18,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,SIL,36614.53825,22271241.593,22.27124,25,22271241.594,36614.53825,0
19,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,PLA,184715.49083,468898485.66,468.89849,20,468898485.66,184715.49083,0
20,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,INT,42657.90284,67040182.634,67.04018,11,67040182.634,42657.90284,0
21,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,FOR,0,0,0,8,50737437.928,45103.08101,0
22,US1MIOK0050,"WHITE LAKE 5.2 SSE, MI US",42.6175,-83.5438,291.7,2017-06-05,,,,0,0,,,,,,,BOG,7867.04145,2299314.6809,2.29931,3,2299314.6818,7867.04145,0
23,US1MIOK0077,"WHITE LAKE 0.5 E, MI US",42.6924,-83.5455,316.7,2017-06-01,,,,0,,,,,,,,PON,70940,54511600,54.5116,21,54511600.008,70940,0
24,USC00208941,"WHITE LAKE 4 E, MI US",42.698,-83.4716,321,2017-06-01,,,,0,0,0,,20.6,7.8,8.9,,PON,70940,54511600,54.5116,21,54511600.008,70940,0
25,US1MIOK0035,"WATERFORD 2.1 NW, MI US",42.6874,-83.4132,299.3,2017-06-01,,,,0,0,,,,,,,PON,70940,54511600,54.5116,21,54511600.008,70940,0
26,US1MILV0014,"BRIGHTON 2.5 E, MI US",42.5331,-83.736,285,2017-06-01,,,,0,0,,,,,,,ORE,31100,10267400,10.2674,18,10267400.002,31100,0
27,USC00205452,"MILFORD GM PROVING GROUND, MI US",42.5794,-83.6844,295.7,2017-06-01,,,,0,0,0,,22.8,8.3,11.7,,BRI,68280,45297000,45.297,4,45296999.997,68280,0
