Mo,LK_CODE,Date,Month,day,year,doy,OP,NO3,NH3,TP,TKN,TNTP,X16SRNA,CYANA,MCYE,CyrA,SxtA,Nodul,D_Asp3_RR,MC_RR,MC_YR,MC_HTyR,MC_LR,D_Asp3_LR,MC_HiLR,MC_WR,MC_LA,MC_LY,MC_LW,MC_LF,SUM,ELISA,Sensored,PPIA,Sensored_1,Anatoxin,Cylindro,S_D_Asp3_RR,S_MC_RR,S_Nodul,S_MC_YR,S_MC_HtyR,S_MC_LR,S_D_Asp3LR,S_MC_HilR,S_MC_WR,S_MC_LA,S_MC_LY,S_MC_LW,S_MC_LF,S_SUM,S_ELISA,S_EL_CENS,wtemp,pH,DO,conduc,turb,chloro,phyco,Dates,TN,month,fiveday,threeday,sevenday,thirtyday,Lat,Long,Lake.Name,Network,Max_Depth,Open_clos,Zebra,LkArea,WtShArea,LkWshRatio,Water,Developed,Barren,Forest,Shrubs,Herbaceous,Agriculture,Wetlands,MusselMass,MusselNum,ecoregion,precip3,temp3,precip5,temp5,precip7,temp7,precip30,temp30,hobotemp,hobolight,surveyor,network,open
July,BEA,20170705,7,5,2017,186,0.005,0.031,0,0.023,0.322,15.347826086956522,12448.19183,191.7989741,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.015631,0,0,0,0.015631,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.67,8.41,10.56,162,2.44,NA,NA,2017-07-05,0.353,July,2017-06-30,2017-07-02,2017-06-28,2017-06-05,44.73095,-84.94995,Bear Lake,1,16,Closed,Present,1.290895362,3.014285397,0.42825917,0.43533225275242166,0.08298217178887388,0,0.4064829822559416,0.02171799027504877,0.03533225284806777,0,0.018152350079646423,0,0,Northern Lakes and Forests,2.925,13.742857142857144,1.9916666666666665,14.50909090909091,2.7624999999999997,14.713333333333333,3.4161290322580644,14.650819672131147,23.89038344,830.2607362,1,1,Closed
July,BEL,20170706,7,6,2017,187,0.012,0.279,0.052,0.041,0.721,24.390243902439025,46427.79991,1828.357088,NA,NA,NA,0,0,0.036487,0,0,0,0.058596,0,0,0.012448,0,0,0,0.107531,0,0,0.587,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.82,8.5,7.55,739,14.1,1.3,0.26,2017-07-06,1,July,2017-07-01,2017-07-03,2017-06-29,2017-06-06,42.21442,-83.50166,Belleville Lake,3,9,Open,Absent,1.805893298,46.39763641,0.038922097,0.10793303609663513,0.7099562547022369,7.571296373631982e-4,0.07989820813468684,4.2062757640865466e-4,0.008118112222790852,0.041642130067904425,0.05127450156197407,0,0,Huron/Erie Lake Plains,1.15,NaN,2.9,NaN,3.5727272727272728,NaN,1.1875,NaN,27.18238667,7.529141104,2,3,Open
July,BOG,20170705,7,5,2017,186,0.012,0.033,0.407,0.024,0.865,37.416666666666664,48464.39382,2489.380258,NA,NA,NA,0,0.032362,0.01096,0,0,0,0,0,0,0.018256,0,0,0,0.061578,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.21,8.37,7.1,755,12,0.49,0.05,2017-07-05,0.898,July,2017-06-30,2017-07-02,2017-06-28,2017-06-05,42.61582,-83.50474,Bogie Lake,1,12,Closed,Present,0.300444341,2.299314682,0.130666908,0.12606112050860485,0.4422750425538755,0.016977928688130084,0.29202037346540827,4.244482172684819e-4,0.014006791169555496,0,0.10823429539715733,0.040285799,0.301029996,Southern Michigan/Northern Indiana Drift Plains,NA,NA,3.6999999999999997,NaN,3.6999999999999997,NaN,1.78,NaN,26.95841087,100.0582822,2,1,Closed
July,BRI,20170705,7,5,2017,186,0.018,0.481,0.077,0.049,1.359,37.55102040816326,3500.44218,221.9987471,0.742195544,0,0,0,0.046189,0.163577,0.00742,0,0.043381,0.195391,0.005,0,0.007654,0,0,0,0.468612,0.4245,1,0.867,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.52,8.41,8.3,782,21.7,2.6,0.42,2017-07-05,1.8399999999999999,July,2017-06-30,2017-07-02,2017-06-28,2017-06-05,42.52092,-83.79456,Brighton Lake,3,7,Open,Present,0.63816438,45.297,0.014088447,0.0548387791548773,0.518189846418405,0.003360113726401956,0.19327115687015975,5.60018954400326e-4,0.010855752041860822,0.08333512826255518,0.13558920457133972,0,0,Southern Michigan/Northern Indiana Drift Plains,0,18.05,1.4,18.133333333333333,1.1533333333333333,19.3,1.2393442622950819,17.916129032258066,27.0532788,71.20245399,2,3,Open
July,CAD,20170707,7,7,2017,188,0.013,0.029,0.024,0.037,0.652,18.405405405405407,38652.00747,1578.575024,22.67356591,0,0,0,0.075652,0.405118,0.007487,0.009389,0.035276,0,0,0,0.028893,0,0,0,0.561815,1.1785,1,1.091,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.09,8.88,8.32,101,6.49,NA,NA,2017-07-07,0.681,July,2017-07-02,2017-07-04,2017-06-30,2017-06-07,44.24239,-85.40419,Lake Cadillac,3,8,Open,Absent,4.550486012,161.4964927,0.028176996,0.13826625524840083,0.13826625524840083,0.001261501394699424,0.34934323515204413,0.032720638047405826,0.05849232768529265,0.10855326457333869,0.17309652265041767,2.451095312,3.21212758,Northern Lakes and Forests,1.2083333333333333,17.2875,1.4,16.9,1.0958333333333332,16.91875,4.9,16.076666666666668,24.90223926,1141.605521,1,3,Open
July,COL,20170707,7,7,2017,188,0.014,0.348,0.241,0.063,1.181,24.26984126984127,22392.95253,1037.970439,687.9411844,0,0,0,0,0,0,0,0,0,0,0,0.005239,0,0,0,0.005239,0,0,0.4565,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.96,8.67,8.79,253,1.78,NA,NA,2017-07-07,1.529,July,2017-07-02,2017-07-04,2017-06-30,2017-06-07,43.66486,-84.95386,Coldwater Lake,3,28,Open,Present,1.15051424,145.688,0.007897111,0.02214941812367256,0.0748028594861716,8.039716194836313e-4,0.3581425575487068,0.018739238501737268,0.06819019288710627,0.3000824070826073,0.15708935475051458,2.334465413,3.390073424,Northern Lakes and Forests,0.7666666666666666,16.95,0.65,16.483333333333334,0.4875,17.15,7.535483870967742,16.574193548387097,25.68826994,1320.220092,1,3,Open
July,DEE,20170707,7,7,2017,188,0.012,0.013,0.058,0.025,1.033,41.83999999999999,11823.22615,357.6969004,NA,NA,NA,0,0,0,0,0,0.392104,0.534952,0,0,0.160271,0,0,0,1.087327,0.8085,1,1.2015,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.44,8.41,10.17,206,7.19,NA,NA,2017-07-07,1.0459999999999998,July,2017-07-02,2017-07-04,2017-06-30,2017-06-07,45.16184,-84.98026,Deer Lake,1,7,Closed,Present,1.847301676,8.953421036,0.206323557,0.22312969619299278,0.11967766520463953,0.0025046281171386534,0.36872481762624093,0.005662637482566081,0.04355874985988534,0.1273004464811625,0.10944135903537401,0.412880358,1.805898653,North Central Hardwood Forests,0,27.225,0.08333333333333333,26.21666666666667,0.0625,25.2875,2.774193548387097,24.81935483870968,25.23696933,2232.15138,1,1,Closed
July,FOR,20170706,7,6,2017,187,0.008,0.599,0.326,0.031,1.455,66.25806451612904,40115.36335,1794.498256,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.024313,0,0,0,0.024313,0,0,0.486,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.26,8.52,8.51,711,8.1,0.78,0.3,2017-07-06,2.0540000000000003,July,2017-07-01,2017-07-03,2017-06-29,2017-06-06,42.20675,-83.97195,Ford Lake,3,9,Open,Present,3.850366877,50.73743793,0.075888083,0.10041567239086586,0.4957855438098017,0.0018666769300356083,0.14629358785776544,0.0011546455237313332,0.009468093295503887,0.20437225775584905,0.04064352243644705,0.725249891,1.335038979,Huron/Erie Lake Plains,1.18125,21.6,1.3791666666666667,21.991666666666667,1.9281249999999999,22.075,1.2056451612903225,20.809677419354838,27.11225801,28.65337423,2,3,Open
July,HOU,20170705,7,5,2017,186,0.016,0.015,0.035,0.095,1.573,16.715789473684207,3042.458439,39.00219563,0.742195544,0,0,0,0,0,0,0,0.009082,0,0,0,0.13752,0,0,0,0.146602,1.166,1,0.4095,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.58,8.71,11.17,187,21,NA,NA,2017-07-05,1.5879999999999999,July,2017-06-30,2017-07-02,2017-06-28,2017-06-05,44.37367,-84.80032,Houghton Lake,3,6,Open,Absent,66.98795222,576.1544,0.116267362,0.22755231513568747,0.09277218850128355,0.0013619800885789353,0.353469407055164,0.041067765276674335,0.04705437925767452,0.005895137696367922,0.23082682698856918,0,0,Northern Lakes and Forests,0.075,15.65,0.18064516129032257,16.32777777777778,1.3023255813953487,16.0625,4.194219653179191,15.404301075268817,24.19131135,1646.784969,1,3,Open
July,HUD,20170706,7,6,2017,187,0.012,0,0.312,0.034,1.361,40.02941176470588,36794.49391,703.2420474,NA,NA,NA,0.021353,0,0.047488,0,0,0,0,0,0,0.019212,0,0,0,0.088053,0,0,0.3765,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.34,8.76,8.19,349,11.5,1.02,0.12,2017-07-06,1.361,July,2017-07-01,2017-07-03,2017-06-29,2017-06-06,41.83611,-84.24632,Hudson Lake,3,8,Open,Present,2.077441037,27.7744,0.074796973,0.06622423541077528,0.04294392359172605,0.004951016538960983,0.17714807405896407,0.016187366131056743,0.00832192141838848,0.5683486076737712,0.11587485517635716,0,0,Eastern Corn Belt Plains,0.6833333333333332,17.25,1.8666666666666667,17.616666666666667,4.291666666666667,18.0625,2.0977272727272727,17.203703703703702,27.54399625,191.5506135,2,3,Open
